#,Event,Date,Venue,Location,Attendance,url,fight_odds_url,fight_odds_url_2
613,UFC on ABC: Ortega vs. Rodríguez,2022-07-16,UBS Arena,"Hempstead, New York, U.S.","16,979",https://en.wikipedia.org/wiki/UFC_on_ABC:_Ortega_vs._Rodr%C3%ADguez,https://www.bestfightodds.com/events/ufc-on-abc-ortega-vs-rodriguez-2524,
612,UFC on ESPN: dos Anjos vs. Fiziev,2022-07-09,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Fiziev,https://www.bestfightodds.com/events/ufc-on-espn-dos-anjos-vs-fiziev-2501,
611,UFC 276: Adesanya vs. Cannonier,2022-07-02,T-Mobile Arena,"19,649",[118],https://en.wikipedia.org/wiki/UFC_276,https://www.bestfightodds.com/events/ufc-276-adesanya-vs-cannonier-2478,
610,UFC on ESPN: Tsarukyan vs. Gamrot,2022-06-25,UFC Apex,—,[119],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Tsarukyan_vs._Gamrot,https://www.bestfightodds.com/events/ufc-on-espn-tsarukyan-vs-gamrot-2574,
609,UFC on ESPN: Kattar vs. Emmett,2022-06-18,Moody Center,"Austin, Texas, U.S.","13,689",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Kattar_vs._Emmett,https://www.bestfightodds.com/events/ufc-fight-night-kattar-vs-emmett-2523,
608,UFC 275: Teixeira vs. Procházka,2022-06-12,Singapore Indoor Stadium,"Kallang, Singapore","10,787",https://en.wikipedia.org/wiki/UFC_275,https://www.bestfightodds.com/events/ufc-275-teixeira-vs-prochazka-2561,
607,UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Rozenstruik,https://www.bestfightodds.com/events/ufc-fight-night-2010-2428,
606,UFC Fight Night: Holm vs. Vieira,2022-05-21,[123],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holm_vs._Vieira,https://www.bestfightodds.com/events/ufc-fight-night-208-2418,
605,UFC on ESPN: Błachowicz vs. Rakić,2022-05-14,[124],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_B%C5%82achowicz_vs._Raki%C4%87,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412,
604,UFC 274: Oliveira vs. Gaethje,2022-05-07,Footprint Center,"Phoenix, Arizona, U.S.","17,232",https://en.wikipedia.org/wiki/UFC_274,https://www.bestfightodds.com/events/ufc-274-oliveira-vs-gaethje-2422,
603,UFC on ESPN: Font vs. Vera,2022-04-30,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Font_vs._Vera,https://www.bestfightodds.com/events/ufc-fight-night-font-vs-vera-2474,
602,UFC Fight Night: Lemos vs. Andrade,2022-04-23,[127],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lemos_vs._Andrade,https://www.bestfightodds.com/events/ufc-fight-night-lemos-vs-andrade-2435,
601,UFC on ESPN: Luque vs. Muhammad 2,2022-04-16,[128],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Luque_vs._Muhammad_2,https://www.bestfightodds.com/events/ufc-fight-night-207-2391,
600,UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.","14,605",https://en.wikipedia.org/wiki/UFC_273,https://www.bestfightodds.com/events/ufc-273-2411,
599,UFC on ESPN: Blaydes vs. Daukaus,2022-03-26,Nationwide Arena,"Columbus, Ohio, U.S.","18,630",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Blaydes_vs._Daukaus,https://www.bestfightodds.com/events/ufc-fight-night-205-2376,
598,UFC Fight Night: Volkov vs. Aspinall,2022-03-19,The O2 Arena,"London, England, UK","17,081",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Aspinall,https://www.bestfightodds.com/events/ufc-2414,
597,UFC Fight Night: Santos vs. Ankalaev,2022-03-12,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Ankalaev,https://www.bestfightodds.com/events/ufc-fight-night-204-2380,
596,UFC 272: Covington vs. Masvidal,2022-03-05,T-Mobile Arena,"19,425",[133],https://en.wikipedia.org/wiki/UFC_272,https://www.bestfightodds.com/events/ufc-fight-night-203-2343,
595,UFC Fight Night: Makhachev vs. Green,2022-02-26,UFC Apex,—,[134],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Makhachev_vs._Green,https://www.bestfightodds.com/events/ufc-2413,
594,UFC Fight Night: Walker vs. Hill,2022-02-19,[135],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Walker_vs._Hill,https://www.bestfightodds.com/events/ufc-vegas-47-2430,
593,UFC 271: Adesanya vs. Whittaker 2,2022-02-12,Toyota Center,"Houston, Texas, U.S.","17,872",https://en.wikipedia.org/wiki/UFC_271,https://www.bestfightodds.com/events/ufc-271-2338,
592,UFC Fight Night: Hermansson vs. Strickland,2022-02-05,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hermansson_vs._Strickland,https://www.bestfightodds.com/events/ufc-fight-night-201-2320,
591,UFC 270: Ngannou vs. Gane,2022-01-22,Honda Center,"Anaheim, California, U.S.","17,387",https://en.wikipedia.org/wiki/UFC_270,https://www.bestfightodds.com/events/ufc-270-2322,
590,UFC on ESPN: Kattar vs. Chikadze,2022-01-15,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Kattar_vs._Chikadze,https://www.bestfightodds.com/events/ufc-fight-night-191-2213,
589,UFC Fight Night: Lewis vs. Daukaus,2021-12-18,[140],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Daukaus,https://www.bestfightodds.com/events/ufc-fight-night-lewis-vs-daukaus-2286,
588,UFC 269: Oliveira vs. Poirier,2021-12-11,T-Mobile Arena,"18,471",[141],https://en.wikipedia.org/wiki/UFC_269,https://www.bestfightodds.com/events/ufc-269-2279,
587,UFC on ESPN: Font vs. Aldo,2021-12-04,UFC Apex,—,[142],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Font_vs._Aldo,https://www.bestfightodds.com/events/ufc-fight-night-font-vs-aldo-2259,
586,UFC Fight Night: Vieira vs. Tate,2021-11-20,[143],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Vieira_vs._Tate,https://www.bestfightodds.com/events/ufc-fight-night-vieira-vs-tate-2237,
585,UFC Fight Night: Holloway vs. Rodríguez,2021-11-13,[144],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holloway_vs._Rodr%C3%ADguez,https://www.bestfightodds.com/events/ufc-fight-night-holloway-vs-rodriguez-2224,
584,UFC 268: Usman vs. Covington 2,2021-11-06,Madison Square Garden,"New York, New York, U.S.","20,715",https://en.wikipedia.org/wiki/UFC_268,https://www.bestfightodds.com/events/ufc-268-usman-vs-covington-2-2246,
583,UFC 267: Błachowicz vs. Teixeira,2021-10-30,Etihad Arena,"Abu Dhabi, United Arab Emirates","10,171",https://en.wikipedia.org/wiki/UFC_267,https://www.bestfightodds.com/events/ufc-267-brachowicz-vs-teixeira-2217,
582,UFC Fight Night: Costa vs. Vettori,2021-10-23,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Costa_vs._Vettori,https://www.bestfightodds.com/events/ufc-fight-night-costa-vs-vettori-2203,
581,UFC Fight Night: Ladd vs. Dumont,2021-10-16,[148],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Ladd_vs._Dumont,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178,
580,UFC Fight Night: Dern vs. Rodriguez,2021-10-09,[149],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dern_vs._Rodriguez,https://www.bestfightodds.com/events/ufc-fight-night-dern-vs-rodriguez-2173,
579,UFC Fight Night: Santos vs. Walker,2021-10-02,[150],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Walker,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167,
578,UFC 266: Volkanovski vs. Ortega,2021-09-25,T-Mobile Arena,"19,029",[151],https://en.wikipedia.org/wiki/UFC_266,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177,
577,UFC Fight Night: Smith vs. Spann,2021-09-18,UFC Apex,—,[152],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Smith_vs._Spann,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,
576,UFC Fight Night: Brunson vs. Till,2021-09-04,[153],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Brunson_vs._Till,https://www.bestfightodds.com/events/ufc-fight-night-191-2213,
575,UFC on ESPN: Barboza vs. Chikadze,2021-08-28,[154],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Barboza_vs._Chikadze,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251,
574,UFC on ESPN: Cannonier vs. Gastelum,2021-08-21,[155],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Cannonier_vs._Gastelum,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166,
573,UFC 265: Lewis vs. Gane,2021-08-07,Toyota Center,"Houston, Texas, U.S.","16,604",https://en.wikipedia.org/wiki/UFC_265,https://www.bestfightodds.com/events/ufc-265-lewis-vs-gane-2142,
572,UFC on ESPN: Hall vs. Strickland,2021-07-31,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Hall_vs._Strickland,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165,
571,UFC on ESPN: Sandhagen vs. Dillashaw,2021-07-24,51,[158],,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Sandhagen_vs._Dillashaw,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137,
570,UFC on ESPN: Makhachev vs. Moisés,2021-07-17,0,[159],,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Makhachev_vs._Mois%C3%A9s,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139,
569,UFC 264: Poirier vs. McGregor 3,2021-07-10,T-Mobile Arena,"20,062",[160],https://en.wikipedia.org/wiki/UFC_264,https://www.bestfightodds.com/events/ufc-264-poirier-vs-mcgregor-3-2127,
568,UFC Fight Night: Gane vs. Volkov,2021-06-26,UFC Apex,0,[161],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gane_vs._Volkov,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109,
567,UFC on ESPN: The Korean Zombie vs. Ige,2021-06-19,[162],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_The_Korean_Zombie_vs._Ige,https://www.bestfightodds.com/events/ufc-on-espn-the-korean-zombie-vs-ige-2130,
566,UFC 263: Adesanya vs. Vettori 2,2021-06-12,Gila River Arena,"Glendale, Arizona, U.S.","17,208",https://en.wikipedia.org/wiki/UFC_263,https://www.bestfightodds.com/events/ufc-263-adesanya-vs-vettori-2-2115,
565,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05,UFC Apex,"Las Vegas, Nevada, U.S.",0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rozenstruik_vs._Sakai,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108,
564,UFC Fight Night: Font vs. Garbrandt,2021-05-22,[165],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Font_vs._Garbrandt,https://www.bestfightodds.com/events/ufc-fight-night-188-font-vs-garbrandt-2085,
563,UFC 262: Oliveira vs. Chandler,2021-05-15,Toyota Center,"Houston, Texas, U.S.","16,005",https://en.wikipedia.org/wiki/UFC_262,https://www.bestfightodds.com/events/ufc-262-oliveira-vs-chandler-2086,
562,UFC on ESPN: Rodriguez vs. Waterson,2021-05-08,UFC Apex,"Las Vegas, Nevada, U.S.",0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Rodriguez_vs._Waterson,https://www.bestfightodds.com/events/ufc-on-espn-24-rodriguez-vs-waterson-2075,
561,UFC on ESPN: Reyes vs. Procházka,2021-05-01,[168],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Reyes_vs._Proch%C3%A1zka,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074,
560,UFC 261: Usman vs. Masvidal 2,2021-04-24,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.","15,269",https://en.wikipedia.org/wiki/UFC_261,https://www.bestfightodds.com/events/ufc-261-usman-vs-masvidal-2-2087,
559,UFC on ESPN: Whittaker vs. Gastelum,2021-04-17,UFC Apex,"Las Vegas, Nevada, U.S.",0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Whittaker_vs._Gastelum,https://www.bestfightodds.com/events/ufc-on-espn-22-whittaker-vs-gastelum-2062,
558,UFC on ABC: Vettori vs. Holland,2021-04-10,[171],,,https://en.wikipedia.org/wiki/UFC_on_ABC:_Vettori_vs._Holland,https://www.bestfightodds.com/events/ufc-on-abc-2-vettori-vs-holland-2061,
557,UFC 260: Miocic vs. Ngannou 2,2021-03-27,[172],,,https://en.wikipedia.org/wiki/UFC_260,https://www.bestfightodds.com/events/ufc-260-miocic-vs-ngannou-2-2055,
556,UFC on ESPN: Brunson vs. Holland,2021-03-20,[173],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Brunson_vs._Holland,https://www.bestfightodds.com/events/ufc-on-espn-21-brunson-vs-holland-2053,
555,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,[174],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edwards_vs._Muhammad,https://www.bestfightodds.com/events/ufc-fight-night-187-edwards-vs-muhammad-2048,
554,UFC 259: Błachowicz vs. Adesanya,2021-03-06,[175],,,https://en.wikipedia.org/wiki/UFC_259,https://www.bestfightodds.com/events/ufc-259-blachowicz-vs-adesanya-2038,
553,UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,[176],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rozenstruik_vs._Gane,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039,
552,UFC Fight Night: Blaydes vs. Lewis,2021-02-20,[177],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Lewis,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035,
551,UFC 258: Usman vs. Burns,2021-02-13,[178],,,https://en.wikipedia.org/wiki/UFC_258,https://www.bestfightodds.com/events/ufc-258-usman-vs-burns-2033,
550,UFC Fight Night: Overeem vs. Volkov,2021-02-06,[179],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Overeem_vs._Volkov,https://www.bestfightodds.com/events/ufc-fight-night-184-overeem-vs-volkov-2029,
549,UFC 257: Poirier vs. McGregor 2,2021-01-24,Etihad Arena,"Abu Dhabi, United Arab Emirates","2,600",https://en.wikipedia.org/wiki/UFC_257,https://www.bestfightodds.com/events/ufc-257-poirier-vs-mcgregor-2-2016,
548,UFC on ESPN: Chiesa vs. Magny,2021-01-20,"2,000",[181],,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Chiesa_vs._Magny,https://www.bestfightodds.com/events/ufc-on-espn-20-chiesa-vs-magny-2044,
547,UFC on ABC: Holloway vs. Kattar,2021-01-16,[182],,,https://en.wikipedia.org/wiki/UFC_on_ABC:_Holloway_vs._Kattar,https://www.bestfightodds.com/events/ufc-on-abc-1-holloway-vs-kattar-2009,
546,UFC Fight Night: Thompson vs. Neal,2020-12-19,UFC Apex,"Las Vegas, Nevada, U.S.",0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thompson_vs._Neal,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000,
545,UFC 256: Figueiredo vs. Moreno,2020-12-12,[184],,,https://en.wikipedia.org/wiki/UFC_256,https://www.bestfightodds.com/events/ufc-256-figueiredo-vs-moreno-1983,
544,UFC on ESPN: Hermansson vs. Vettori,2020-12-05,[185],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Hermansson_vs._Vettori,https://www.bestfightodds.com/events/ufc-on-espn-19-hermansson-vs-vettori-1982,
543,UFC on ESPN: Smith vs. Clark,2020-11-28,[186],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Smith_vs._Clark,https://www.bestfightodds.com/events/ufc-on-espn-18-smith-vs-clark-1979,
542,UFC 255: Figueiredo vs. Perez,2020-11-21,[187],,,https://en.wikipedia.org/wiki/UFC_255,https://www.bestfightodds.com/events/ufc-255-figueiredo-vs-perez-1967,
541,UFC Fight Night: Felder vs. dos Anjos,2020-11-14,[188],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._dos_Anjos,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981,
540,UFC on ESPN: Santos vs. Teixeira,2020-11-07,[189],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Santos_vs._Teixeira,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974,
539,UFC Fight Night: Hall vs. Silva,2020-10-31,[190],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hall_vs._Silva,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973,
538,UFC 254: Khabib vs. Gaethje,2020-10-24,du Forum,"Abu Dhabi, United Arab Emirates",[191],https://en.wikipedia.org/wiki/UFC_254,https://www.bestfightodds.com/events/ufc-254-khabib-vs-gaethje-1958,
537,UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-18,[192],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Ortega_vs._The_Korean_Zombie,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971,
536,UFC Fight Night: Moraes vs. Sandhagen,2020-10-11,[193],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moraes_vs._Sandhagen,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965,
535,UFC on ESPN: Holm vs. Aldana,2020-10-04,[194],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Holm_vs._Aldana,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970,
534,UFC 253: Adesanya vs. Costa,2020-09-27,[195],,,https://en.wikipedia.org/wiki/UFC_253,https://www.bestfightodds.com/events/ufc-253-adesanya-vs-costa-1952,
533,UFC Fight Night: Covington vs. Woodley,2020-09-19,UFC Apex,"Las Vegas, Nevada, U.S.",[196],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Covington_vs._Woodley,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944,
532,UFC Fight Night: Waterson vs. Hill,2020-09-12,[197],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Waterson_vs._Hill,https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945,
531,UFC Fight Night: Overeem vs. Sakai,2020-09-05,[198],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Overeem_vs._Sakai,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953,
530,UFC Fight Night: Smith vs. Rakić,2020-08-29,[199],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Smith_vs._Raki%C4%87,https://www.bestfightodds.com/events/ufc-on-espn-33-smith-vs-rakic-1932,
529,UFC on ESPN: Munhoz vs. Edgar,2020-08-22,[200],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Munhoz_vs._Edgar,https://www.bestfightodds.com/events/ufc-on-espn-15-munhoz-vs-edgar-1931,
528,UFC 252: Miocic vs. Cormier 3,2020-08-15,[201],,,https://en.wikipedia.org/wiki/UFC_252,https://www.bestfightodds.com/events/ufc-252-miocic-vs-cormier-3-1919,
527,UFC Fight Night: Lewis vs. Oleinik,2020-08-08,[202],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Oleinik,https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885,
526,UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01,[203],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Brunson_vs._Shahbazyan,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918,
525,UFC on ESPN: Whittaker vs. Till,2020-07-26,du Forum,"Abu Dhabi, United Arab Emirates",[204],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Whittaker_vs._Till,https://www.bestfightodds.com/events/ufc-on-espn-14-whittaker-vs-till-1903,
524,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-19,[205],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Figueiredo_vs._Benavidez_2,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913,
523,UFC on ESPN: Kattar vs. Ige,2020-07-16,[206],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Kattar_vs._Ige,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917,
522,UFC 251: Usman vs. Masvidal,2020-07-12,[207],,,https://en.wikipedia.org/wiki/UFC_251,https://www.bestfightodds.com/events/ufc-251-usman-vs-masvidal-1890,
521,UFC on ESPN: Poirier vs. Hooker,2020-06-27,UFC Apex,"Las Vegas, Nevada, U.S.",[208],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Poirier_vs._Hooker,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895,
520,UFC on ESPN: Blaydes vs. Volkov,2020-06-20,[209],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Blaydes_vs._Volkov,https://www.bestfightodds.com/events/ufc-on-espn-11-blaydes-vs-volkov-1897,
519,UFC on ESPN: Eye vs. Calvillo,2020-06-13,[210],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Eye_vs._Calvillo,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898,
518,UFC 250: Nunes vs. Spencer,2020-06-06,[211],,,https://en.wikipedia.org/wiki/UFC_250,https://www.bestfightodds.com/events/ufc-250-nunes-vs-spencer-1909,
517,UFC on ESPN: Woodley vs. Burns,2020-05-30,[212],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Woodley_vs._Burns,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910,
516,UFC on ESPN: Overeem vs. Harris,2020-05-16,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.",[213],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Overeem_vs._Harris,https://www.bestfightodds.com/events/ufc-on-espn-8-overeem-vs-harris-1908,
515,UFC Fight Night: Smith vs. Teixeira,2020-05-13,[214],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Smith_vs._Teixeira,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876,
514,UFC 249: Ferguson vs. Gaethje,2020-05-09,[215],,,https://en.wikipedia.org/wiki/UFC_249,https://www.bestfightodds.com/events/ufc-249-ferguson-vs-gaethje-1875,
